country,rate,count,region,subregion,year
Afghanistan,6.5,1948,Asia,Southern Asia,2012
Albania,5,157,Europe,Southern Europe,2012
Algeria,0.7,280,Africa,Northern Africa,2011
Andorra,1.3,1,Europe,Southern Europe,2010
Angola,10,2079,Africa,Middle Africa,2012
Argentina,5.5,2237,Americas,South America,2010
Armenia,1.8,54,Asia,Western Asia,2012
Australia,1.1,254,Oceania,Australasia ,2012
Austria,0.9,77,Europe,Western Europe,2012
Azerbaijan,2.1,194,Asia,Western Asia,2010
Bahamas,29.8,111,Americas,Caribbean ,2012
Bahrain,0.5,7,Asia,Western Asia,2011
Bangladesh,2.7,4169,Asia,Southern Asia,2012
Barbados,7.4,21,Americas,Caribbean ,2012
Belarus,3.6,340,Europe,Eastern Europe,2012
Belgium,1.6,182,Europe,Western Europe,2012
Belize,44.7,145,Americas,Central America,2012
Benin,8.4,848,Africa,Western Africa,2012
Bhutan,1.7,12,Asia,Southern Asia,2012
Bolivia,12.1,1270,Americas,South America,2012
Bosnia and Herzegovina,1.3,51,Europe,Southern Europe,2011
Botswana,18.4,368,Africa,Southern Africa,2012
Brazil,25.2,50108,Americas,South America,2012
Brunei,2,8,Asia,South-Eastern Asia,2012
Bulgaria,1.5,108,Europe,Eastern Europe,2013
Burkina Faso,8,1311,Africa,Western Africa,2012
Burundi,8,790,Africa,Eastern Africa,2012
Cambodia,6.5,964,Asia,South-Eastern Asia,2012
Cameroon,7.6,1654,Africa,Middle Africa,2012
Canada,1.4,505,Americas,Northern America,2013
Cape Verde,10.3,51,Africa,Western Africa,2012
Central African Republic,11.8,532,Africa,Middle Africa,2012
Chad,7.3,907,Africa,Middle Africa,2012
Chile,3.1,550,Americas,South America,2012
China,1,13410,Asia,Eastern Asia,2010
Colombia,30.8,14670,Americas,South America,2012
Comoros,10,72,Africa,Eastern Africa,2012
Congo,12.5,541,Africa,Middle Africa,2012
Costa Rica,8.5,407,Americas,Central America,2012
Croatia,1.2,51,Europe,Southern Europe,2012
Cuba,4.2,477,Americas,Caribbean ,2012
Cyprus,2,23,Asia,Western Asia,2012
Czech Republic,0.9,98,Europe,Eastern Europe,2013
Democratic Republic of the Congo,28.3,18586,Africa,Middle Africa,2012
Denmark,0.8,47,Europe,Northern Europe,2012
Djibouti,10.1,87,Africa,Eastern Africa,2012
Dominican Republic,22.1,2268,Americas,Caribbean ,2012
Ecuador,12.4,1924,Americas,South America,2012
Egypt,3.4,2703,Africa,Northern Africa,2011
El Salvador,41.2,2594,Americas,Central America,2012
Equatorial Guinea,19.3,142,Africa,Middle Africa,2012
Eritrea,7.1,437,Africa,Eastern Africa,2012
Estonia,5,65,Europe,Northern Europe,2011
Ethiopia,12,1148,Africa,Eastern Africa,2012
Fiji,4,35,Oceania,Melanesia ,2012
Finland,1.6,89,Europe,Northern Europe,2012
France,1,665,Europe,Western Europe,2012
Gabon,9.1,148,Africa,Middle Africa,2012
Gambia,10.2,182,Africa,Western Africa,2012
Georgia,4.3,187,Asia,Western Asia,2010
Germany,0.8,662,Europe,Western Europe,2011
Ghana,6.1,1537,Africa,Western Africa,2012
Greece,1.7,184,Europe,Southern Europe,2011
Guatemala,39.9,625,Americas,Central America,2012
Guinea,8.9,118,Africa,Western Africa,2012
Guinea-Bissau,8.4,140,Africa,Western Africa,2012
Guyana,17,135,Americas,South America,2012
Haiti,10.2,133,Americas,Caribbean ,2012
Honduras,90.4,7172,Americas,Central America,2012
Hungary,2.7,265,Europe,Eastern Europe,2013
Iceland,0.3,1,Europe,Northern Europe,2012
India,3.5,43355,Asia,Southern Asia,2012
Indonesia,0.6,1456,Asia,South-Eastern Asia,2012
Iran,3.9,3126,Asia,Southern Asia,2012
Iraq,8,2628,Asia,Western Asia,2012
Ireland,1.2,54,Europe,Northern Europe,2012
Israel,1.8,134,Asia,Western Asia,2012
Italy,0.9,530,Europe,Southern Europe,2012
Ivory Coast,13.6,2691,Africa,Western Africa,2012
Jamaica,39.3,1087,Americas,Caribbean ,2012
Japan,0.3,442,Asia,Eastern Asia,2011
Jordan,2,133,Asia,Western Asia,2011
Kazakhstan,7.8,1263,Asia,Central Asia,2012
Kenya,6.4,2761,Africa,Eastern Africa,2012
Kuwait,0.4,12,Asia,Western Asia,2012
Kyrgyzstan,9.1,494,Asia,Central Asia,2011
Laos,5.9,392,Asia,South-Eastern Asia,2012
Latvia,4.7,97,Europe,Northern Europe,2012
Lebanon,2.2,95,Asia,Western Asia,2010
Lesotho,38,764,Africa,Southern Africa,2010
Liberia,3.2,135,Africa,Western Africa,2012
Libya,1.7,103,Africa,Northern Africa,2012
Lithuania,6.7,202,Europe,Northern Europe,2012
Luxembourg,0.8,4,Europe,Western Europe,2011
Macedonia,1.4,30,Europe,Southern Europe,2011
Madagascar,11.1,2465,Africa,Eastern Africa,2012
Malawi,1.8,279,Africa,Eastern Africa,2012
Malaysia,2.3,652,Asia,South-Eastern Asia,2012
Maldives,3.9,13,Asia,Southern Asia,2012
Mali,7.5,1119,Africa,Western Africa,2012
Malta,2.8,12,Europe,Southern Europe,2012
Mauritania,5,191,Africa,Western Africa,2012
Mauritius,2.8,34,Africa,Eastern Africa,2011
Mexico,21.5,2637,Americas,Central America,2012
Moldova,5,169,Europe,Eastern Europe,2013
Mongolia,9.7,266,Asia,Eastern Asia,2011
Montenegro,2.7,17,Europe,Southern Europe,2012
Morocco,2.2,704,Africa,Northern Africa,2012
Mozambique,12.4,3133,Africa,Eastern Africa,2012
Namibia,17.2,388,Africa,Southern Africa,2012
Nepal,2.9,786,Asia,Southern Asia,2011
Netherlands,0.9,145,Europe,Western Europe,2012
New Zealand,0.9,41,Oceania,Australasia ,2012
Nicaragua,11.3,675,Americas,Central America,2012
Niger,4.7,803,Africa,Western Africa,2012
Nigeria,20,33817,Africa,Western Africa,2012
North Korea,5.2,1293,Asia,Eastern Asia,2012
Norway,2.2,111,Europe,Northern Europe,2011
Oman,1.1,34,Asia,Western Asia,2011
Pakistan,7.7,13846,Asia,Southern Asia,2012
Palestine,7.4,312,Asia,Western Asia,2012
Panama,17.2,654,Americas,Central America,2012
Papua New Guinea,10.4,713,Oceania,Melanesia ,2010
Paraguay,9.7,649,Americas,South America,2012
Peru,9.6,2865,Americas,South America,2012
Philippines,8.8,8484,Asia,South-Eastern Asia,2012
Poland,0.8,298,Europe,Eastern Europe,2013
Portugal,1.2,122,Europe,Southern Europe,2012
Qatar,1.1,23,Asia,Western Asia,2012
Romania,1.5,336,Europe,Eastern Europe,2013
Russia,9,12785,Europe,Eastern Europe,2013
Rwanda,23.1,2648,Africa,Eastern Africa,2012
Saudi Arabia,0.8,234,Asia,Western Asia,2012
Senegal,2.8,379,Africa,Western Africa,2012
Serbia,1.2,111,Europe,Southern Europe,2012
Seychelles,9.5,9,Africa,Eastern Africa,2012
Sierra Leone,1.9,113,Africa,Western Africa,2012
Singapore,0.2,11,Asia,South-Eastern Asia,2012
Slovakia,1.4,78,Europe,Eastern Europe,2013
Slovenia,0.7,14,Europe,Southern Europe,2012
Solomon Islands,4.3,24,Oceania,Melanesia ,2012
Somalia,8,819,Africa,Eastern Africa,2012
South Africa,31,16259,Africa,Southern Africa,2012
South Korea,0.9,427,Asia,Eastern Asia,2011
Spain,0.8,364,Europe,Southern Europe,2012
Sri Lanka,3.4,707,Asia,Southern Asia,2011
Sudan,11.2,4159,Africa,Northern Africa,2012
Suriname,6.1,33,Americas,South America,2012
Swaziland,33.8,416,Africa,Southern Africa,2012
Sweden,0.7,68,Europe,Northern Europe,2012
Switzerland,0.6,46,Europe,Western Europe,2011
Syria,2.2,463,Asia,Western Asia,2010
Taiwan,3,686,Asia,Eastern Asia,2011
Tajikistan,1.6,126,Asia,Central Asia,2011
Tanzania,12.7,6071,Africa,Eastern Africa,2012
Thailand,5,3307,Asia,South-Eastern Asia,2011
Timor-Leste,3.6,39,Asia,South-Eastern Asia,2010
Togo,10.3,684,Africa,Western Africa,2012
Trinidad and Tobago,28.3,379,Americas,Caribbean ,2012
Tunisia,2.2,235,Africa,Northern Africa,2012
Turkey,2.6,1886,Asia,Western Asia,2011
Uganda,10.7,3753,Africa,Eastern Africa,2011
Ukraine,4.3,1988,Europe,Eastern Europe,2010
United Arab Emirates,2.6,235,Asia,Western Asia,2012
United Kingdom,1,653,Europe,Northern Europe,2011
United States,3.8,122535,Americas,Northern America,2013
Uruguay,7.9,267,Americas,South America,2012
Uzbekistan,3.7,1060,Asia,Central Asia,2012
Venezuela,53.7,16072,Americas,South America,2012
Vietnam,3.3,3037,Asia,South-Eastern Asia,2012
Yemen,4.8,1099,Asia,Western Asia,2010
Zambia,10.7,1501,Africa,Eastern Africa,2012
Zimbabwe,10.6,1450,Africa,Eastern Africa,2012
